# time f200lp f300x f350lp f475x f600lp f850lp f218w f225w f275w f336w f390w f438w f475w f555w f606w f625w f775w f814w f105w f110w f125w f140w f160w f070w f090w f115w f150w f150w2 f200w f277w f322w2 f356w f444w f0560w f0770w f1000w
-1.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.85 -12.156 -7.004 -12.649 -11.2 -13.587 -14.488 -3.728 -4.844 -6.057 -8.387 -9.704 -10.197 -10.761 -11.559 -12.263 -12.589 -13.574 -13.889 -14.625 -14.59 -14.555 -14.47 -14.366 -12.996 -14.624 -14.57 -14.452 -14.451 -13.981 -13.436 -13.16 -12.775 -12.034 -11.652 -11.072 -1.524
0.95 -12.167 -6.893 -12.661 -11.117 -13.616 -14.576 -3.7 -4.555 -6.016 -8.237 -9.479 -9.957 -10.648 -11.494 -12.218 -12.543 -13.578 -13.928 -14.745 -14.711 -14.688 -14.599 -14.513 -12.984 -14.701 -14.689 -14.597 -14.574 -14.142 -13.549 -13.248 -12.809 -12.145 -11.515 -10.869 3.417
1.05 -12.127 -6.141 -12.624 -10.962 -13.596 -14.6 -3.403 -4.118 -4.701 -7.682 -9.145 -9.671 -10.472 -11.359 -12.102 -12.426 -13.553 -13.922 -14.826 -14.788 -14.762 -14.686 -14.608 -12.908 -14.741 -14.787 -14.688 -14.666 -14.212 -13.707 -13.373 -12.872 -12.056 -11.603 -11.301 4.189
1.15 -12.08 -5.755 -12.578 -10.73 -13.573 -14.625 -2.616 -3.332 -3.467 -7.279 -8.794 -9.283 -10.109 -11.152 -12.007 -12.363 -13.474 -13.89 -14.911 -14.874 -14.864 -14.788 -14.721 -12.858 -14.765 -14.9 -14.793 -14.774 -14.338 -13.828 -13.477 -12.944 -12.091 -11.644 -11.454 -1.805
1.25 -12.079 -5.483 -12.576 -10.68 -13.578 -14.666 -3.367 -3.76 -3.881 -7.075 -8.39 -9.001 -10.038 -11.121 -11.956 -12.311 -13.475 -13.902 -14.976 -14.928 -14.907 -14.846 -14.813 -12.826 -14.794 -14.962 -14.874 -14.838 -14.409 -13.856 -13.52 -13.021 -12.04 -11.534 -11.444 -5.567
1.35 -12.043 -5.311 -12.541 -10.62 -13.545 -14.646 -2.462 -3.535 -4.115 -6.722 -8.13 -8.742 -9.91 -11.07 -11.923 -12.281 -13.428 -13.861 -15.019 -14.972 -14.962 -14.92 -14.901 -12.8 -14.794 -15.037 -14.942 -14.913 -14.502 -13.993 -13.616 -13.025 -11.985 -11.811 -11.527 -5.312
1.45 -12.021 -5.016 -12.52 -10.506 -13.533 -14.638 -2.679 -3.616 -3.173 -6.489 -8.1 -8.711 -9.764 -10.959 -11.856 -12.227 -13.422 -13.849 -15.038 -15.006 -15.006 -14.997 -14.987 -12.776 -14.797 -15.087 -15.02 -14.972 -14.569 -14.052 -13.691 -13.14 -11.999 -11.763 -11.371 -6.429
1.55 -11.948 -4.883 -12.447 -10.296 -13.474 -14.61 -2.309 -3.294 -2.957 -6.427 -7.754 -8.664 -9.548 -10.758 -11.701 -12.08 -13.351 -13.801 -15.068 -15.031 -15.041 -15.02 -15.019 -12.681 -14.793 -15.133 -15.047 -15.023 -14.618 -14.149 -13.79 -13.241 -12.088 -11.809 -11.547 -5.564
1.65 -11.947 -4.565 -12.446 -10.293 -13.472 -14.626 -2.343 -3.221 -2.145 -6.175 -7.88 -8.494 -9.464 -10.752 -11.683 -12.07 -13.34 -13.8 -15.11 -15.073 -15.087 -15.094 -15.113 -12.653 -14.829 -15.191 -15.116 -15.09 -14.703 -14.229 -13.866 -13.319 -12.115 -11.972 -11.69 -6.61
1.75 -11.896 -4.146 -12.395 -10.256 -13.419 -14.566 -2.23 -3.161 -2.083 -5.561 -7.469 -8.282 -9.423 -10.724 -11.657 -12.037 -13.294 -13.737 -15.085 -15.069 -15.097 -15.119 -15.136 -12.607 -14.802 -15.204 -15.133 -15.123 -14.737 -14.299 -13.928 -13.361 -12.195 -12.042 -11.719 -7.289
